clade_name	NCBI_tax_id	X2442854_Visit_8	X2442841_Visit_12	X2442640_Visit_10	X2443084_Visit_7	X2442981_Visit_6	X2442842_Visit_10	X2442827_Visit_8	X2443013_Visit_6	X2442653_Visit_8	X2442841_Visit_11	X2442829_Visit_8	X2442593_Visit_5	X2443075_Visit_8	X2442777_Visit_10	X2443099_Visit_8	X2442741_Visit_12	X2442903_Visit_7	X2442981_Visit_9	X2443104_Visit_6	X2442914_Visit_10	X2443107_Visit_7	X2442828_Visit_9	X2442932_Visit_6	X2443000_Visit_10	X2442844_Visit_9	X2442838_Visit_6	X2442916_Visit_10	X2443075_Visit_9	X2442622_Visit_10	X2442937_Visit_9	X2442696_Visit_8	X2442706_Visit_13	X2442707_Visit_14	X2443022_Visit_7	X2442797_Visit_9	X2443035_Visit_5	X2442637_Visit_8	X2443054_Visit_9	X2442828_Visit_7	X2442866_Visit_8	X2442994_Visit_5	X2442741_Visit_9	X2442706_Visit_8	X2443054_Visit_8	X2442874_Visit_8	X2443059_Visit_8	X2443081_Visit_10	X2442831_Visit_6	X2443013_Visit_5	X2443012_Visit_8	X2443017_Visit_6	X2442934_Visit_6	X2442981_Visit_12	X2442842_Visit_7	X2442827_Visit_13	X2442916_Visit_6	X2442977_Visit_6	X2442632_Visit_5	X2442754_Visit_10	X2443035_Visit_7	X2443050_Visit_11	X2442898_Visit_5	X2442641_Visit_5	X2442736_Visit_7	X2442649_Visit_10	X2442885_Visit_10	X2443106_Visit_6	X2442919_Visit_9	X2443049_Visit_7	X2442804_Visit_10	X2442729_Visit_6	X2442844_Visit_7	X2443079_Visit_11	X2443040_Visit_9	X2443107_Visit_5	X2442754_Visit_5	X2443067_Visit_12	X2443012_Visit_6	X2442849_Visit_8	X2442658_Visit_7	X2443106_Visit_7	X2442726_Visit_10	X2442596_Visit_8	X2443124_Visit_12	X2443049_Visit_6	X2442903_Visit_10	X2442739_Visit_9	X2442804_Visit_9	X2442916_Visit_5	X2442709_Visit_9	X2442640_Visit_7	X2443022_Visit_6	X2442978_Visit_8	X2442812_Visit_8	X2442885_Visit_7	X2442593_Visit_7	X2442932_Visit_8	X2442726_Visit_7	X2442793_Visit_9	X2442797_Visit_5	X2442709_Visit_10	X2442753_Visit_6	X2442849_Visit_9	X2442870_Visit_6	X2442729_Visit_8	X2442783_Visit_11	X2443124_Visit_9	X2442831_Visit_5	X2442641_Visit_8	X2442637_Visit_6	X2442947_Visit_7	X2442658_Visit_10	X2443023_Visit_7	X2442707_Visit_8	X2442605_Visit_7	X2442978_Visit_9	X2442596_Visit_10	X2442739_Visit_7	X2443084_Visit_5	X2443076_Visit_6	X2442831_Visit_9	X2442793_Visit_6	X2442968_Visit_9	X2442829_Visit_6	X2442898_Visit_10	X2443023_Visit_6	X2443067_Visit_8	X2443050_Visit_7	X2442899_Visit_7	X2442827_Visit_11	X2442934_Visit_7	X2443087_Visit_8	X2442827_Visit_16	X2443104_Visit_4	X2442914_Visit_7	X2442899_Visit_5	X2442773_Visit_6	X2443087_Visit_11	X2443081_Visit_7	X2443040_Visit_7	X2442632_Visit_6	X2442919_Visit_8	X2442874_Visit_10	X2442777_Visit_5	X2442947_Visit_9	X2443079_Visit_10	X2442854_Visit_5
k__Bacteria	2	99.2168	99.5489	95.63359	100	0	99.02042	0	94.87546	55.49242	0	70.07386	100	2.92654	90.4573	26.6234	8.58466	92.37285	0	23.9106	100	12.23704	96.0917	96.5579	98.50084	99.91076	99.98863	100	0	39.00541	100	99.12397	73.43575	100	98.68987	99.49725	81.27599	16.26429	99.40908	100	95.44697	75.01227	100	0	88.01685	6.90203	95.35818	30.28994	7.62659	56.13635	99.78285	71.03141	12.10177	0.82828	70.80206	10.34987	95.50162	12.10599	0	98.8202	83.25148	98.96275	88.23408	79.59531	71.64739	99.81053	97.88129	100	8.73487	99.79016	99.97519	41.1581	41.23995	99.07054	36.00556	99.979	89.64609	100	62.21978	7.16367	68.43275	97.48544	70.07043	39.36313	98.87501	89.1994	28.60168	4.39942	59.55713	84.63147	67.99958	98.64174	100	98.35892	95.6047	94.85351	99.8878	1.48444	30.21594	0.1686	98.38639	76.66681	99.76306	67.49219	100	100	99.95489	97.33469	6.34218	0	99.4453	73.18018	98.99199	93.97963	15.1644	88.40781	98.17738	81.52862	80.32431	92.79519	94.52523	5.00991	94.12056	67.30893	100	3.53071	42.74714	0	35.28015	17.03163	93.71833	99.9606	26.36727	13.4809	88.15899	21.40054	56.1719	41.68931	98.32125	0	100	99.46335	46.48042	99.73914	99.70798	93.52042	99.77647	12.47962
k__Bacteria|p__Actinobacteria	2|201174	3.62277	0.04825	0.08409	0	0	0.69831	0	6.04677	1.83712	0	0	0	0	0	8.94798	0	0	0	3.64322	0	0	0	0.94929	0	0	0	0.00974	0	0	0	0	0.40618	1.52393	0.13181	8.2764	5.17043	12.88841	5.94555	1.55173	0.01116	0.33101	5.07988	0	0	1.63811	0	2.09095	0	6.16975	0	8.5361	0	0.26487	0	0.94728	0	0	0	17.27041	0	0	9.43679	10.73016	0	0	0	62.21579	3.28772	3.10158	0	0	0	0	0	1.43919	0	0	0	0	0	43.28566	37.64941	0	0	0	0	3.8477	0	0.13896	0	0	0	0	0	0	0	0	0	0	3.2594	0	7.79673	1.84405	0.01501	0	0	0.11977	1.23677	0	0	0	0	0	7.58833	0	0	0	1.01922	0	87.06712	0	40.68654	0	0	0	20.48784	0	0	11.51066	24.18346	0	0	0.2965	0	0	8.61606	0	0	0	0.96515	34.68423	38.84692	0	3.50951	0	0	5.75582
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.25956	0.04825	0.08409	0	0	0.69831	0	6.04677	1.83712	0	0	0	0	0	8.94798	0	0	0	3.64322	0	0	0	0.94929	0	0	0	0.00974	0	0	0	0	0.40618	1.52393	0.01727	8.03158	5.17043	12.88841	5.94555	1.55173	0.01116	0.33101	5.07988	0	0	1.63811	0	2.09095	0	6.16975	0	8.5361	0	0.26487	0	0.94728	0	0	0	17.27041	0	0	7.87283	10.73016	0	0	0	59.88706	3.28772	3.10158	0	0	0	0	0	1.43919	0	0	0	0	0	43.28566	37.64941	0	0	0	0	3.8477	0	0.13896	0	0	0	0	0	0	0	0	0	0	3.21644	0	7.79673	1.84405	0.01501	0	0	0.11977	1.23677	0	0	0	0	0	7.58833	0	0	0	1.01922	0	72.67042	0	16.41879	0	0	0	20.48784	0	0	11.51066	24.18346	0	0	0.2965	0	0	8.61606	0	0	0	0.96515	34.68423	38.84692	0	3.50951	0	0	5.75582
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08589	0	0	0	0	0	0	2.87599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08589	0	0	0	0	0	0	2.87599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_urogenitalis	2|201174|1760|2037|2049|1654|103621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum	2|201174|1760|2037|2049|184869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	2|201174|1760|2037|2049|184869|184870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.11019	0	0.08409	0	0	0.69831	0	6.04677	1.55177	0	0	0	0	0	0	0	0	0	3.64322	0	0	0	0.94929	0	0	0	0.00974	0	0	0	0	0	0	0	8.03158	0	12.88841	0	0	0.01116	0	5.07988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19354	10.73016	0	0	0	40.957	0	0.02752	0	0	0	0	0	1.43919	0	0	0	0	0	0	37.64941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95952	0	7.78119	1.71779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.3553	0	16.34889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
